Saved Date,Job Url,Job Title,Company Name
"1/16/26, 4:00 PM",http://www.linkedin.com/jobs/view/4362972389,OEM Account Manager,NVIDIA
"12/8/25, 7:02 PM",http://www.linkedin.com/jobs/view/4338227313,"Managing Director, Global Head of Technology Sales, Payments",JPMorganChase
"11/4/25, 11:49 PM",http://www.linkedin.com/jobs/view/4308862736,"Vice President, AI",Docusign
"11/8/21, 9:51 AM",http://www.linkedin.com/jobs/view/2779460614,US Founder,Antler
"12/1/25, 6:42 PM",http://www.linkedin.com/jobs/view/4348173237,"Director, Product Management",PayPal
"1/16/26, 3:59 PM",http://www.linkedin.com/jobs/view/4332226428,Startup Partnerships,Anthropic
"5/24/23, 9:47 AM",http://www.linkedin.com/jobs/view/3590873562,Technical Product Manager,Anthropic
"12/5/25, 2:18 AM",http://www.linkedin.com/jobs/view/4325070263,"Program Manager, Strategic Business Programs",Waymo
"7/7/25, 3:24 AM",http://www.linkedin.com/jobs/view/4255299098,"Vice President, General Manager, Google Pay and Wallet",Google
"1/24/26, 6:44 PM",http://www.linkedin.com/jobs/view/4351227846,"Head of Startups, US",Airwallex
"7/16/25, 4:47 PM",http://www.linkedin.com/jobs/view/4266362941,"Head of Payments, Business Development",Stellar Development Foundation
"5/24/23, 12:17 PM",http://www.linkedin.com/jobs/view/3607804712,"Group Product Manager, Google Workspace",Google
"10/25/25, 1:14 AM",http://www.linkedin.com/jobs/view/4313817257,Hardware Strategic Sourcing & Partnerships Manager,OpenAI
"1/30/26, 2:05 AM",http://www.linkedin.com/jobs/view/4354868137,"Vice President, Investment (AI) (Based in SF)",Temasek
"1/27/26, 11:36 AM",http://www.linkedin.com/jobs/view/4322092063,"Manager, Startup Account Executive",Anthropic
"11/11/25, 9:10 PM",http://www.linkedin.com/jobs/view/4315023660,SVP Tech Innovation & Solutions Delivery,Fremont Bank
"10/27/25, 9:07 PM",http://www.linkedin.com/jobs/view/4282892463,"Product Manager, Payment Services",PayPal
"1/27/26, 11:35 AM",http://www.linkedin.com/jobs/view/4321499804,"Strategic Account Executive, Startups",Anthropic
"11/11/25, 9:15 PM",http://www.linkedin.com/jobs/view/4244636021,"Account Director, Mid-Market Enterprise",OpenAI
"7/17/25, 6:33 PM",http://www.linkedin.com/jobs/view/4268295190,"Vice President, VisaNet Expansion",Visa
"11/4/25, 11:54 PM",http://www.linkedin.com/jobs/view/4266986525,"Director, Partner Engineering - Fintech",Meta
"11/4/25, 11:50 PM",http://www.linkedin.com/jobs/view/4298685802,"Senior Manager, AI Partnerships",Visa
"11/11/25, 9:16 PM",http://www.linkedin.com/jobs/view/4313811391,"Product Finance, ChatGPT Core",OpenAI
"12/1/25, 6:41 PM",http://www.linkedin.com/jobs/view/4324526246,"Vice President, Strategic Partnerships Business Development",SAP
"12/10/25, 8:19 PM",http://www.linkedin.com/jobs/view/4349540674,"Vice President, AI Programs and Technology Delivery",Mastercard
"11/11/25, 9:14 PM",http://www.linkedin.com/jobs/view/4337753536,"Director, Strategic Partnerships Sales, Open Finance Solutions",Mastercard
"12/8/25, 7:03 PM",http://www.linkedin.com/jobs/view/4295091790,"General Manager, US",World
"11/4/25, 11:54 PM",http://www.linkedin.com/jobs/view/4316391008,"Partner Development Manager, Financial Partnership Capabilities",Stripe
"11/11/25, 9:07 PM",http://www.linkedin.com/jobs/view/4214133528,"VP, Banker, Tech Venture Banking",Banc of California
"12/1/25, 6:41 PM",http://www.linkedin.com/jobs/view/4339008262,Relationship Executive - Innovation Economy Venture Capital Technology Coverage - Managing Director,JPMorganChase
"11/4/25, 11:56 PM",http://www.linkedin.com/jobs/view/4259921337,Senior Director - Client Partner - FinTech,Slalom
"1/16/26, 4:00 PM",http://www.linkedin.com/jobs/view/4328272669,"Partner Development Manager, Build Partners",Anthropic
"11/4/25, 11:55 PM",http://www.linkedin.com/jobs/view/4205967978,Strategic Partnerships Lead,Column
"12/1/25, 6:42 PM",http://www.linkedin.com/jobs/view/4337213370,Managing Director - Tech Boutique,Selby Jennings
"7/16/25, 4:48 PM",http://www.linkedin.com/jobs/view/4258352283,Product Manager â€“ Embedded Payments,Visa
"4/24/25, 5:52 PM",http://www.linkedin.com/jobs/view/4201251261,"Product Manager, ChatGPT for Work",OpenAI
"11/4/25, 11:50 PM",http://www.linkedin.com/jobs/view/4266983791,"Director, Partner Engineering - Fintech",Meta
"7/12/25, 7:57 PM",http://www.linkedin.com/jobs/view/4239784823,"Partner Development Manager, Strategic Payments Partnerships",Stripe
"4/24/25, 5:52 PM",http://www.linkedin.com/jobs/view/4201892660,"Account Director, Startups",OpenAI
"11/4/25, 11:55 PM",http://www.linkedin.com/jobs/view/4306254400,Head of Partnerships,Unlimit
"11/8/21, 9:52 AM",http://www.linkedin.com/jobs/view/2787154183,Co-Founder: % Equity,TeachMas
"11/4/25, 11:55 PM",http://www.linkedin.com/jobs/view/4290876603,Partnerships Manager,Ramp
"3/19/24, 7:50 PM",http://www.linkedin.com/jobs/view/3840189309,Head of Growth,Clarifai
"12/1/25, 6:42 PM",http://www.linkedin.com/jobs/view/4325068377,Senior Director,Visa
"7/16/25, 4:48 PM",http://www.linkedin.com/jobs/view/4248344978,"Senior Product Manager - Tech, B2B Payments & Lending",Amazon
"11/11/25, 9:12 PM",http://www.linkedin.com/jobs/view/4319168224,Finance Strategic Projects,Anthropic
"1/16/26, 4:03 PM",http://www.linkedin.com/jobs/view/4325813671,Head of Partner Experience & Success,Anthropic
"4/24/25, 5:52 PM",http://www.linkedin.com/jobs/view/4216746247,Special Projects,OpenAI
"11/19/25, 4:26 PM",http://www.linkedin.com/jobs/view/4323080209,"Sr. Director, Global Products Strategic Initiatives",Visa
"11/12/25, 11:06 PM",http://www.linkedin.com/jobs/view/4321171616,"Venture Capital Business Development Executive, Google Cloud",Google
"10/25/25, 1:23 AM",http://www.linkedin.com/jobs/view/4316983477,"Director, Commercial Card Sales Executive, B2B Fintech Partnerships",Visa
"11/4/25, 11:49 PM",http://www.linkedin.com/jobs/view/4308698234,"VP, AI Platform Strategic Operations",ServiceNow
"10/25/25, 1:23 AM",http://www.linkedin.com/jobs/view/4309298541,"Director, Product Management, Agentic Commerce",Mastercard
"12/8/25, 7:01 PM",http://www.linkedin.com/jobs/view/4292856432,VP - Business Development,Nium
"2/1/24, 1:07 PM",http://www.linkedin.com/jobs/view/3798320531,Business Development Director,Thunes
"7/16/25, 4:47 PM",http://www.linkedin.com/jobs/view/4236267634,Senior Payments Partnerships Manager,Adyen
"11/8/21, 9:52 AM",http://www.linkedin.com/jobs/view/2780737433,"Director, Acceptance Fintech Fast Track",Visa
"11/11/25, 9:13 PM",http://www.linkedin.com/jobs/view/4337388638,"Account Director, Startups",OpenAI
"1/26/22, 4:47 PM",http://www.linkedin.com/jobs/view/2893443657,"Head of Payment Partnership Operations, Risk and Payments",Meta
"12/8/25, 7:02 PM",http://www.linkedin.com/jobs/view/4337980506,"Vice President, Agentic Strategic Business Development",Mastercard
"11/11/25, 9:18 PM",http://www.linkedin.com/jobs/view/4321570429,"Strategic Account Executive, Startups",Anthropic
"7/17/25, 6:33 PM",http://www.linkedin.com/jobs/view/4201896174,"Account Director, Digital Native",OpenAI
"7/16/25, 4:47 PM",http://www.linkedin.com/jobs/view/4138388981,"Sr. Business Development Manager, Tech, Payments Products",Amazon
"11/23/12, 8:17 AM",http://www.linkedin.com/jobs/view/4105156,Managing Director / CEO / Partner,Natural Resourcing Ltd
"11/4/25, 11:54 PM",http://www.linkedin.com/jobs/view/4310728405,"Director, Partnerships",PayPal
"7/12/25, 8:04 PM",http://www.linkedin.com/jobs/view/4222894725,"Inside Account Director, Startups",OpenAI
"11/4/25, 9:08 PM",http://www.linkedin.com/jobs/view/4253163243,"Industry Executive, Technology Banking, Managing Director",JPMorganChase
"1/16/26, 3:59 PM",http://www.linkedin.com/jobs/view/4353602091,"Director, Payments & Fintech Partnerships",Meta
"5/24/23, 12:17 PM",http://www.linkedin.com/jobs/view/3606895100,"Group Outbound Product Manager, Google Cloud",Google
"9/8/25, 8:43 PM",http://www.linkedin.com/jobs/view/4271388300,Deal Operations Administrator,Palantir Technologies
