Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2018-11-15 03:34 UTC,N/A,false,N/A,
Smart Cities: Solving Urban Problems Using Technology,"Cities are changing rapidly—growing in size and density, creating more waste, and using more resources. To solve the problems these pressures create, city governments need to think different. Enter smart cities—cities that use 21st century thinking and technology to enable a better quality of life for their citizens. Hosted by Jonathan Reichental (named one of the world's top 100 CIOs in 2017), this short documentary profiles the City of Palo Alto, California. There forward-thinking officials are coming up with creative solutions to problems like traffic and air pollution—and opening up their doors and their data so that community members can get involved. Learn how sensors that bridge the physical and digital worlds and open-data policies are making government more agile and more innovative. Plus, find out how smart cities' technology investments will power a new job market for technical and creative professionals who want to do meaningful work for their communities.",Course,2019-03-06 07:12 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-26 06:38 UTC,N/A,false,N/A,
Customer Service: Call Control Strategies,"Customer service calls can sometimes get out of control. Upset and overtalkative callers take time and energy away from other customers and tasks. This is where practical call-control strategies come into play. Join customer service trainer Myra Golden as she explains the reasons customer calls get out of hand, and introduces simple strategies to get you back in control. Learn how use a limited response, take control with close-ended questions, assert your way out of a bad conversation, and practice proactive call management so customers feel heard. You’ll leave the course with a variety of actionable tips to turn long, problematic phone calls into polite and efficient interactions.",Course,2022-07-07 02:16 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2022-11-11 01:04 UTC,N/A,false,N/A,
Sramana Mitra on Bootstrapping,"Want to start your own business? Bootstrap it! LinkedIn Influencer Sramana Mitra, an expert on entrepreneurship, shares her insights on how to start a new business without any external financing. Bootstrapping can be a way to quickly validate and launch a company, and get the traction you need to attract serious investors (or you can bootstrap all the way). Sramana dismisses some of the myths that get in the way of new entrepreneurs, and then turns the focus on to the benefits of bootstrapping. She walks through two methods of bootstrapping that can be particularly valuable: selling services and developing a business while holding down a full-time job.",Course,2018-09-21 02:30 UTC,N/A,false,N/A,
Beyond Vibe Coding with Google Gemini: Become a Deliberate Developer,"This course is designed to elevate your development skills by transforming Google Gemini into an intelligent coding partner. Join instructor Laurence Moroney as he shows you how to move past superficial coding habits so you can leverage Gemini for strategic prompting, insightful AI-assisted code reviews, and test-driven development. Learn how to use Gemini for advanced debugging, accelerating your learning of new technologies, and even brainstorming initial system designs and more effective design patterns. By the end of this course, you’ll be prepared to become a more deliberate, skilled, and thoughtful software engineer by using AI to enhance your understanding and the quality of your work.",Course,2025-12-22 06:51 UTC,N/A,false,N/A,
Practice Exam 4 for Cisco Certified Network Associate (CCNA) v1.1 (200-301),"<p>This practice exam is intended to help you prepare for the <b>Cisco Certified Network Associate (CCNA) v1.1 </b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 1 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 2 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 3 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/ccna.html"" target=""_blank""><b>Cisco Certified Network Associate (CCNA)</b></a>.</p>

<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,2024-10-11 19:24 UTC,N/A,false,N/A,
How to Find Fulfillment in Your Work with Job Crafting,"<p>Everyone wants a fulfilling career. Job crafting is an evidence-based approach to help you do just that. In this transformative course, renowned organizational psychologist, executive coach, and culture change consultant Erin Shrimpton offers valuable insights on how to reshape your experience of work, redefine tasks to make them more meaningful, and tap into your flow state for enhanced productivity. Learn how to harness the power of human connection to elevate your sense of fulfillment and foster a stronger sense of belonging within your organization. Explore ways to unleash your potential and craft a personalized routine that aligns with your unique strengths and aspirations. It's time to revolutionize your approach to work and unlock a truly fulfilling career.</p>

<p>This course was created by CRFT Productions and Erin Shrimpton. We are pleased to host this training in our library.</p>",Course,2025-04-08 21:52 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2022-10-21 18:49 UTC,N/A,false,N/A,
Metaverse and NFTs for Marketing,"Have you tried to imagine where the internet is headed? While it may be dizzying to think about, the metaverse is poised to play a fundamental role in this technology journey. But what, exactly, is the metaverse? How will it reshape traditional marketing campaigns? And what can you do now to better prepare for the big impact it will have on your world?<br><br>Join metaverse expert Cathy Hackl in this audio-only course on the key aspects of the metaverse for marketing. Learn about the metaverse ecosystem and Web 3.0, as well as the increasing importance of emerging technologies like blockchain and non-fungible tokens (NFTs). Cathy shares concrete tips on how to position yourself for marketing opportunities in this ever-evolving landscape. Explore key strategies today to promote strong growth tomorrow—like how to drive virtual brand development by minting your own NFTs, how to tap into the power of augmented reality, and how to leverage avatars to reach a wider audience.",Course,2022-05-18 04:07 UTC,N/A,false,N/A,
JavaScript: Recursion,"Recursion, in which functions call themselves, is a foundational structure for algorithms. If you find it hard to break a technical problem down into its simplest form, learning recursion may be just what you need. In this course, software engineer Mustapha Rufai provides a detailed guide to understanding recursion using JavaScript, exploring common use cases and detailing ways to approach these kinds of algorithmic challenges. Mustapha teaches you how to think recursively, and safely make JavaScript use this classic pattern. He then moves to showing you how to improve the performance of recursive algorithms, and presents a series of recursive technical interview questions along with his solutions.",Course,2023-09-29 17:43 UTC,N/A,false,N/A,
Skills to Build Stronger Work Relationships,"<p>In the world of hybrid work, uncertainty, and constant change, people need healthy work relationships to feel supported and show up as their best selves, This course teaches essential skills to build and maintain more resilient relationships.
Dr. Emily Anhalt teaches essential tools and skills, including: taking ownership of your part, strategies to build empathy, ways to create a more positive and safe working environment, ways to move from reactive to proactive, how to have healthy conflict, getting on the same team, expressing yourself more effectively, and breaking an emotional sweat every day.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"" >Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-12-06 23:50 UTC,N/A,false,N/A,
Learning Wrike,"Managing projects and tasks can often be difficult and time-consuming, but luckily there are now tools specifically geared toward project management. In this course, learn how to use Wrike, a powerful project management and team productivity tool that can help you visualize, organize, and oversee project workflow effectively. Join instructor David Rivers as he guides you through the building of a complete project in Wrike, highlighting what its capabilities are and how it can help you manage projects easier and deliver successful outcomes.",Course,2025-05-07 06:57 UTC,N/A,false,N/A,
Managing Your Anxiety While Presenting,"Whether presenting, pitching, delivering a toast, or contributing in a meeting, most people experience some degree of anxiety about speaking in public. In this course, author Matt Abrahams explores what causes people to feel nervous and shares some common anxiety management pitfalls. He then offers anxiety management techniques to help you become more comfortable and confident when speaking in front of others. Matt also discusses specific things you can do to manage sources and symptoms of anxiety which can enable you to feel and appear more confident for any audience.",Course,2022-09-09 00:39 UTC,N/A,false,N/A,
Jeff Weiner on Leading like a CEO,"During Jeff Weiner's tenure as the CEO at LinkedIn, the company grew its membership base from 33 million to more than 690 million members, increased its revenue from $78 million to more than $7.9 billion, and expanded its team from 338 to over 16,000 employees. Throughout this period of remarkable growth, Jeff developed the company's values and created an organization where compassion is as revered as a healthy bottom line. In this course, Jeff shares his advice on what it takes to be a great leader, using a three-part framework of awareness, synthesis, and inspiration.<br><br>Learn about the importance of maintaining awareness of yourself, your team, your industry, and the world at large. Explore the topic of synthesis, which you achieve through developing your vision and values and by focusing on the most important priorities. Plus, learn about the role of inspiration in leadership, both in terms of being true to your own values and motivating others.",Course,2022-08-18 01:10 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2023-08-02 00:03 UTC,N/A,false,N/A,
Sales Pipeline Management,"Truly successful sales professionals are able to focus on efficient and profitable ways of increasing sales to develop their business. They manage the sales process by diligently staying in tune with opportunities and actively monitoring account activity throughout the sales cycle. In this course, learn about proper sales pipeline management, to become more skilled at organizing leads, cultivating opportunities, forecasting outcomes, and closing sales.",Course,2025-01-22 16:28 UTC,N/A,false,N/A,
Ten Habits of Mentally Strong People,"<div><a href=""https://www.linkedin.com/newsletters/6778524658191998977?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Scott's LinkedIn Newsletter</a></div><br> 
It’s a well-established fact that much like we can increase our physical strength, we can increase our mental strength as well, and that building inner strength leads to outer success. It has also been proven that the mentally strongest people have specific habits that drive their fortitude. In this course, Scott Mautz teaches different habits you can incorporate into your daily routine to specifically build your mental strength, contributing to success on so many fronts. Scott shows you how to strive for authenticity instead of approval; choose who gets to criticize you; avoid falling victim to comparison; stop asking for permission; stop giving away your power, and more.",Course,2023-05-05 22:13 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2018-07-27 05:14 UTC,N/A,false,N/A,
Teamwork Essentials: Stand Out as a Valuable Team Member,"When you think of all the skills you could work on to advance your career, how often do you think about being a valuable team member? Almost never? In reality, working well with a team involves more than just a frame of mind, it takes a specific set of skills. In this course, leadership strategist Shadé Zahrai teaches you effective strategies to not only be a great teammate, but also how to develop skills while working with teams that will strengthen your reputation within your organization. She first shows you how to identify your own style of engaging with others, then how to use that information to cultivate strong relationships on the teams that you’re on by elevating the work of your teammates and nurturing trust. Shadé explains ways to build culture on the teams by fostering collaboration, navigating conflict, and creating an environment of psychological safety. Finally, learn techniques to develop strategic thinking skills that will serve your teams and help you solve problems.",Course,2025-06-23 22:05 UTC,N/A,false,N/A,
Leveraging AI for Threat Intelligence,"Interested in leveraging AI for cyber defense, but not sure where to begin? This course helps you unlock the transformative power of AI to improve everyday threat intelligence workflows. Instructor Karla Reffold covers the cyber threat intelligence cycle before introducing a handful of innovative AI tools that can aid in planning, data collection, data analysis, reporting, and dissemination. Explore AI's capabilities in processing data; aggregating tactics, techniques, and procedures (TTPs); and providing predictive, reliable threat intelligence. Along the way, learn how to use AI to enhance language analysis, identify and analyze malware, augment general intelligence analysis skills, and facilitate improved communication with stakeholders. This course is tailored for cybersecurity professionals, threat intelligence analysts, IT personnel, and anyone keen on understanding AI's impact on cyber defense strategies.",Course,2025-06-07 09:50 UTC,N/A,false,N/A,
The Expat Survival Guide,"<p>If you are moving abroad, or work in human resources assisting those who are moving abroad, this course is packed with useful tips and advice, written and presented by former BBC foreign correspondent, Jon Devitt. Begin with some things you can do before you leave home, like determining if you need a relocation company, finding the right visa or residency permit, getting in the right frame of mind, and examining the advantages and disadvantages of visiting your new home before you move. Move on to the first things you should do after arriving in your new home, like choosing health insurance, arranging access to money and a mobile phone service, and completing your move. Learn practical ways to deal with the shock of the new and the various challenges you may encounter living as an expat. Plus, go over ways to prepare for your return home. Expat life is much more rewarding and less stressful if you’re well prepared!</p>
 
<p>This course was created by Jon Devitt. We are pleased to host this training in our library.</p>",Course,2025-01-08 09:21 UTC,N/A,false,N/A,
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG),"<p>As large language models grow in popularity, the infrastructure to be used around them also becomes vital to reduce costs, generate accurate responses, and improve efficiency. Vector databases play a vital role in several LLM use cases to help alleviate LLM shortcomings, reduce costs and latency. Knowledge of its basics and applications are vital for any engineer building applications with LLMs, and in this course, Kumaran Ponnambalam teaches you the basics of vector databases and how to use them in LLM caching and retrieval-augmented generation (RAG).
 </p>
Kumaran begins with a discussion on the basics of vector databases and their applications. He then explores specialized databases for storing vectors and uses the Milvus database as the reference example, and demonstrates read and write operations with the Milvus database. Learn how to use vector databases for LLM caching, with an example use case, along with examples of RAG use cases. Finally, Kumaran concludes with a discussion on optimizing vector databases.",Course,2024-12-27 02:20 UTC,N/A,false,N/A,
Head and Heart: The Art of Modern Leadership,"<p>What does it take to become a truly successful leader? The answer may not be what you think. In the 2023 book <i>Head & Heart: The Art of Modern Leadership</i>, author Kirstin Ferguson—award-winning columnist, leadership expert, and 2021 Thinkers50 Top 30 Thinker to Watch—explores the challenges and opportunities of leadership today and shows readers how to inspire, influence others, and make an impact. Tune into this audiobook summary from Next Big Idea Club to hear Kirstin as she shares five key insights from <i>Head & Heart</i>. Find out why leadership is simply a series of moments, why to live is to lead, how to master the art of modern leadership, why modern leaders monitor their word-to-wisdom ratio, and how to start reading the room like a pro.</p><p>This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-11-01 23:57 UTC,N/A,false,N/A,
