Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-10-09 00:04:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7381841850795569152,"Great insights from todayâ€™s panel on regulated markets, financial rails, and production-grade compliance.""
""The Complexity Advantage with Angela Strange  (a16z), Andrew W.  (Valon), and Wade Arnold (Moov).""
""Building where the stakes are highest â†’ stronger moats.""
""""
""#Fintech #Payments #Compliance #Infrastructure #AI","","",MEMBER_NETWORK
2025-09-26 05:45:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7377216800301797377,"Friday Sept 26 with Mariane Bekker. ""
""GIGAPARTYðŸš€ðŸ¤–ðŸ¦¾""
""""
""2,000+ founders, VCs & execs take over Temple SF for Gigaparty 3 â€” the biggest tech + culture summit of the year.""
""""
""ðŸ”¥ Whoâ€™s in the room: a16z, Bloomberg Capital, Dell Capital, Hustle Fund + 300+ top investors""
""""
""ðŸŽ¤ On stage: Bill Tai, Eric Bahn, SF Chief of Police & more""
""""
""ðŸŽ¶ After dark: all-night party with top DJs, including Twitch co-founder Justin Kan""
""""
""ðŸ¤– And history in the making: the worldâ€™s first LIVE humanoid robot fight","","",MEMBER_NETWORK
2025-07-18 23:04:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7352111133006143488,Iâ€™m happy to share that Iâ€™m starting a new position as Chief Stealth Officer at Stealth AI Startup!,"","",MEMBER_NETWORK
2024-04-08 20:11:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7183194748986294272,"Met Clem Delangue ðŸ¤—  from Hugging Face in Miami! Love to see what they're doing in the AI space. ðŸš€ ""
""The possibilities are endless. #AI #Fintech #Innovation #Collaboration","","",MEMBER_NETWORK
2024-02-14 20:57:32,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-7163637407165198336,"I really enjoyed Steve McLaughlin's insights at the Miami Fintech Club yesterday. His deep understanding of the fintech landscape and forward-thinking ideas resonate with our goals at CashQ. It's always inspiring to engage with industry leaders who are shaping the future of fintech. We look forward to more insightful interactions!""
""""
""#Fintech #Innovation #Networking #MiamiFintechClub #CashQ #FTPartners","","",MEMBER_NETWORK
2024-02-14 20:56:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7163637173404057601,"I really enjoyed Steve McLaughlin's insights at the Miami Fintech Club yesterday. His deep understanding of the fintech landscape and forward-thinking ideas resonate with our goals at CashQ. It's always inspiring to engage with industry leaders who are shaping the future of fintech. We look forward to more insightful interactions!""
""""
""#Fintech #Innovation #Networking #MiamiFintechClub #CashQ #FTPartners","","",MEMBER_NETWORK
2024-02-13 01:53:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7162986999287640064,"ðŸŽ‰ Join me and Denis Hiller at the Tech + Startups Party on Feb 13 at 8Street Brickell! It's a great networking opportunity for Miami tech enthusiasts. Details: https://lu.ma/lwu5lxqf. See you there!""
""""
""#TechEvent #Networking #Startups #8StreetBrickell #miami","","",MEMBER_NETWORK
2023-10-27 19:47:11,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-7123757040631521280,"Honored to have CashQ (ODX1) ðŸ‡ºðŸ‡¦  (ODX1) and Arina Anapolskaya ðŸ‡ºðŸ‡¦  featured alongside Miamiâ€™s fintech innovators in USVenture Newsâ€™ recent article. A testament to the relentless drive and innovation flourishing in our community! ðŸ”¥.   ""
""""
""#MiamiStartups #Fintech #USVentureNews #Innovation #CashQ #crossborderpayments","","",MEMBER_NETWORK
2023-10-27 19:47:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7123757011262996480,"Honored to have CashQ (ODX1) ðŸ‡ºðŸ‡¦  (ODX1) and Arina Anapolskaya ðŸ‡ºðŸ‡¦  featured alongside Miamiâ€™s fintech innovators in USVenture Newsâ€™ recent article. A testament to the relentless drive and innovation flourishing in our community! ðŸ”¥.   ""
""""
""#MiamiStartups #Fintech #USVentureNews #Innovation #CashQ #crossborderpayments","","",MEMBER_NETWORK
2023-10-17 18:37:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7120115684080046080,"I'm excited to share my latest article on Forbes about the evolving remittance landscape! ðŸš€ The shift from standalone platforms to embedding remittance ðŸ’¸  within banking apps creates a seamless experience for users. Plus, it's a fantastic opportunity for banks to offer a holistic financial service and build stronger trust and relationships with customers. Check it out!""
""""
""https://lnkd.in/gGRyGtyQ ""
""""
""#Remittance #BankingInnovation #CustomerExperience #CashQ #CrossBorder",https://www.forbes.com/sites/forbesbusinessdevelopmentcouncil/2023/10/10/the-next-wave-in-remittance-from-standalone-to-embedded/?sh=75ab67107957,"",MEMBER_NETWORK
2023-08-05 03:57:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7093439950347452416,"Ex IBM's Research and Development HQ and the birthplace of the personal computer.  Great place for the meeting with Chelsie Cooper, ETA CPP!","","",MEMBER_NETWORK
2023-08-02 00:00:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7092293168653578240,"","","",MEMBER_NETWORK
2023-07-10 22:07:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7084292049251758080,"","","",MEMBER_NETWORK
2023-05-12 19:30:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7062871556980383745,"Just wrapped up another insightful discussion at the CrossTech  Payments Conference 2023. A massive thank you to Mariano Dall'Orso â˜…  for expertly moderating, and my fellow panelists Fernanda Rachel Zago and Naushad Contractor for their insightful comments.""
""""
""We explored the role of technology in business payments fintechs and how it's shaping the B2B Cross-Border Market. Exciting times ahead!""
""""
""Stay tuned for more updates and let's keep the conversation going.""
""#CrossTech2023 #CashQ #Fintech #Technology #B2BPayments","","",MEMBER_NETWORK
2023-05-12 03:23:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7062628198877929472,"What an engaging discussion today at the CrossTech Payments Conference 2023! A big thanks to my co-panelists Allison Barbosa  and Robin Garrison, CAMS-AUDIT, and our moderator Logan Lemberger.""
""We had a fruitful conversation around bank-fintech partnerships for cross-border payments, focusing on innovative solutions and strategic collaborations. ""
""Looking forward to tomorrow's panel on Products & Technology for the B2B Cross-Border Market!""
""#CrossTech2023 #CashQ #Fintech #Banking #crossborderpayments","","",MEMBER_NETWORK
2023-05-05 21:14:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7060361143705333760,"ðŸ“£ Exciting news! I'm honored to participate as a panelist at the upcoming CrossTech Payments Conference 2023.""
""""
""On May 11, we'll discuss ""Bridging the Gap: Bank-Fintech Partnerships for Cross-Border"" with moderator Logan Lemberger and fellow panelists Allison Barbosa and Robin Garrison, CAMS-AUDIT. It's sure to be an insightful conversation!""
""""
""Then on May 12, join us for a deep dive into ""Products & Technology for the B2B Cross-Border Market"" with Mariano Dall'Orso â˜… moderating and panelists Fernanda Rachel Zago and Naushad Contractor. Can't wait to share insights on the importance of tech in business payments fintech.""
""""
""Stay tuned for more updates and insights!""
""""
""Registration: https://lnkd.in/e8cAiuru""
""""
""#CashQ #payments #CrossTech2023 #Fintech #Banking #CrossBorderPayments","","",MEMBER_NETWORK
2023-03-22 04:13:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7044159188297539584,"","","",MEMBER_NETWORK
2023-01-19 01:07:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7021644315604996096,"I am thrilled to be a part of the CrossTech 2022 Innovation Winners Round Table in the Cross-Border Payments Industry. As a panelist, I'll be sharing my expertise and insights on the latest trends and developments in the field. Join me and other industry leaders for a thought-provoking discussion and networking opportunities. Register now at the link: https://lnkd.in/drtz2pxY #CrossTech2022 #Innovation #CrossBorderPayments #Panelist #CashQ","","",MEMBER_NETWORK
2022-12-19 19:30:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7010687861326757888,"In case you missed it, Arina Anapolskaya ðŸ‡ºðŸ‡¦ and CashQ (ODX1) ðŸ‡ºðŸ‡¦ were recently featured in an article about Miami's growing status as a hub for cross-border payments, by Riley Kaminer. Check out the article here: https://lnkd.in/exwEf_EJ. Congrats to Paysend, Payall Payment Systems, Inc., Finnt (YC W22) and OKY Yes, TÃº Puedes also being featured in the article. Great to see so many innovative companies driving the growth of cross-border payments in Miami and beyond!  Jairo Riveros, Gary Palmer, Anji Ismail, Santiago Rossi, Victor Unda #payments #crossborderpayments #remittances",https://refreshmiami.com/miami-is-becoming-a-hub-for-cross-border-payments-heres-how/,"",MEMBER_NETWORK
2022-11-16 17:26:15,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2363621-6998697757565714433,"CashQ (ODX1) ðŸ‡ºðŸ‡¦ team attending the CrossTech World conference in Miami. Our amazing  Arina Anapolskaya ðŸ‡ºðŸ‡¦  will be a speaker at a panel tomorrow. See you there!""
""#cashq #crossborderpayments #crosstechworld2022 #fintech","","",MEMBER_NETWORK
2022-11-16 17:26:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6998697695024398336,"CashQ (ODX1) ðŸ‡ºðŸ‡¦ team attending the CrossTech World conference in Miami. Our amazing  Arina Anapolskaya ðŸ‡ºðŸ‡¦  will be a speaker at a panel tomorrow. See you there!""
""#cashq #crossborderpayments #crosstechworld2022 #fintech","","",MEMBER_NETWORK
2022-11-11 19:57:38,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1906644-6996923916082380800,"Money 20/20 exclusive intakes from Fintech dreamers!""
""#cashq #money2020 #fintechinnovation ""
""https://lnkd.in/eunTCE3J","","",MEMBER_NETWORK
2022-11-11 19:57:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6996923882934824960,"Money 20/20 exclusive intakes from Fintech dreamers!""
""#cashq #money2020 #fintechinnovation ""
""https://lnkd.in/eunTCE3J","","",MEMBER_NETWORK
2022-11-11 15:58:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996863741489209344,"Today CashQ (ODX1) ðŸ‡ºðŸ‡¦  team heading to the #fintechformal event in NYC. Let's meet there!""
""FinTechformal.com""
""#cashq #fintech",http://FinTechformal.com,"",MEMBER_NETWORK
2022-11-10 23:13:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996610754539876352,"Just landed in NYC and already at a fantastic event by Rise, created by Barclays - the Home of FinTech about Diversity in Fintech with my Partner and coFounder Arina Anapolskaya ðŸ‡ºðŸ‡¦ ""
""#cashq #diversity","","",MEMBER_NETWORK
2022-10-26 21:37:31,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2363621-6991150848340803584,"I cannot agree more with the cross-border payment market perspective.""
""#crossborderpayments #cashq","","",MEMBER_NETWORK
2022-10-26 21:35:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6991150423839514625,"I cannot agree more with the cross-border payment market perspective.""
""#crossborderpayments #cashq","","",MEMBER_NETWORK
2022-10-25 18:46:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6990745442175131648,"CashQ Team at Money2020 / Day3. ""
""DM me if you want to meet.""
""""
""#money2020  #cashq #crossborderpayments","","",MEMBER_NETWORK
2022-10-17 20:33:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6987873123643645952,"Would love to meet you at Money20/20!!""
""#money2020 #crossborderpayments #fintech #cashq","","",MEMBER_NETWORK
2022-10-17 18:18:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6987839243033141249,"I'm excited about Fintech Fuse, to join me click here https://lnkd.in/eTtq5u8r  Informa Connect",https://app.ingo.me/q/y6z7c,https://s3.amazonaws.com/ingo.production.us-east.imgs/bf93218f-80e7-490d-ab1e-c64604c63b57/8af8073c-1d0c-4b5f-bba3-fd1ed1d1959d.png,MEMBER_NETWORK
2022-09-28 20:28:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980986521688367104,CashQ (ODX1) ðŸ‡ºðŸ‡¦  today at the Mass Fintech Hub Forum today at MassChallenge during #BostonFintechWeek2022.,"","",MEMBER_NETWORK
2022-09-28 02:33:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6980716163324379136,Amazing opportunity to work in FinTech!,"","",MEMBER_NETWORK
2022-09-28 02:33:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6980715993501200385,"","","",MEMBER_NETWORK
2022-09-26 22:34:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6980293441255571456,"This week at Boston Fintech Week. ""
""Happy to meet!""
""https://lnkd.in/eXAjuDFq","","",MEMBER_NETWORK
2022-09-23 02:35:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6978904745948127232,"It was terrific to attend the Meet the Projects event last night with Mayor of St. Petersburg, Kenneth Welch!Â So many bright people and great companies!""
""""
""Thank you, Meghan O'Keefe and JP DuBuque of the St. Petersburg Area Economic Development Corporation, for the invite us Arina Anapolskaya ðŸ‡ºðŸ‡¦ Brad Mason","","",MEMBER_NETWORK
2022-08-04 21:20:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6961068380367814656,#usdcÂ for x-borderÂ payments,"","",MEMBER_NETWORK
2022-07-08 00:40:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6950971779066605568,"Thank you Tampa Bay Wave and University of South Florida Muma College of Business for the experience.""
""#2022FinTechXÂ   #CashQ","","",MEMBER_NETWORK
2022-07-01 17:29:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6948688928694571009,"Thank you Tampa Bay Wave!!!""
""""
""#2022FinTechX #CashQ","","",MEMBER_NETWORK
2022-06-22 16:16:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6945409287003287552,"We are at the McKinsey & Company Early Stage Investor Conference.Â ""
""Direct link to the booth here  https://lnkd.in/gw6_FXhy""
""Fintech track will be on June 23, 12:15 pmÂ ""
""Looking forward to meeting you!""
""#CashQ #Embedded #ESIC2022","","",MEMBER_NETWORK
2022-06-20 17:05:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6944696642570772481,"Let's meet on June 23 on the Fintech track!""
""Thank you, McKinsey & Company, for the opportunity.""
""#cashQ #fintech","","",MEMBER_NETWORK
2022-06-16 20:43:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6943302135744778240,Happy Day of Family Remittances!,"","",MEMBER_NETWORK
2022-06-07 22:38:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6940069407280816128,"Embedded vs Consumer Apps. Payment rails always have higher growth potential.""
""#embedded","","",MEMBER_NETWORK
2022-05-26 15:18:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6935610122714963968,Meet our fintech rockstar #fintech #CashQ,"","",MEMBER_NETWORK
2022-05-19 19:42:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933139749570322432,"Thank you JP DuBuque, for the fantastic presentation on St. Petersburg. It's an amazing city, we are looking forward to seeing you soon!","","",MEMBER_NETWORK
2022-05-05 22:23:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6928106826655801344,"","","",MEMBER_NETWORK
2022-04-19 13:15:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6922170775395299328,FinTech NYC week.,"","",MEMBER_NETWORK
2022-04-11 19:23:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6919364447480225792,"","","",MEMBER_NETWORK
2022-03-17 16:17:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6910257794591899649,"With our technology, all transfers can be delivered in seconds. ""
""#connectingpeople #instantpayments","","",MEMBER_NETWORK
2022-03-13 23:18:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6908914174882394112,"","","",MEMBER_NETWORK
2022-03-08 17:40:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6907017330992500736,"We're CashQ (ODX1) â€˜22 #hiring. ""
""Know anyone who might be interested?""
""Arina Anapolskaya ðŸ‡ºðŸ‡¦","","",MEMBER_NETWORK
2021-12-16 19:59:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6877336375633477632,"Letâ€™s meet Tampa January 25-27, 2022 !ðŸš€""
""#cashq #fintech CashQ","","",MEMBER_NETWORK
2021-12-06 21:54:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6873741331626287105,"Proud of my CashQ  Team! ðŸš€""
""Way to go! Letâ€™s meet 07-08 December at #LendItFintechLatAm2021.","","",MEMBER_NETWORK
2021-11-21 01:00:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6867990003906093056,"","","",MEMBER_NETWORK
2021-09-29 18:36:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6849049293249142784,"I will be there - let's meet up October 5-6, NYC.""
"" #fintechstartups #moneytransfer #liveevents""
""https://lnkd.in/eG5JYJTg","","",MEMBER_NETWORK
2021-09-23 17:53:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6846864130289278976,Interesting numbers for Remitly (RELY) listing today (morning Matt interview on CNBC). $7bln valuation (now $7.5b with stock $46.2) with 5 million users going to user value $1400 for remittance.  #CashQ #remitly #fintech,"","",MEMBER_NETWORK
2021-09-21 17:48:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6846138122674192384,"We are excited to share:Â  CashQ Money Transfer - Social P2P Payment Service Â featured inÂ Refresh MiamiÂ https://lnkd.in/ePdsawhw""
""Huge thanks toÂ  Riley Kaminer, Â Brian Breslin,Â Nancy Dahlberg,Â Maria Derchi Russo, for their support and attention to our startup. #moneytransferservice #fintech #startup",https://lnkd.in/ePdsawhw,"",MEMBER_NETWORK
2021-08-28 00:13:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6837175279845212160,#fintech,"","",MEMBER_NETWORK
2021-07-23 15:47:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6824364265344958464,"","","",MEMBER_NETWORK
2020-11-16 16:19:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6734137902357389313,"","","",MEMBER_NETWORK
2020-10-20 11:57:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6724287330946994176,I'm attending the Seamless future of fintech virtual summit 2020. Register free now and join me: https://bit.ly/2Ge4oL0 #futureoffintech #G20 #G20Internationalconferences,https://app.ingo.me/q/3b1lb,https://images.ingo.me/QBFLSMON55DHYNCYZCP4YIJUTWJYN0RCRGTMZV05SQ0RZIQEO1CWEWCYVVE5AYDW.png,MEMBER_NETWORK
2020-10-20 11:57:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6724287292875296768,I'm attending the Seamless future of fintech summit 2020. Online and live from Riyadh. Register free now and join me #futureoffintech #G20 #G20Internationalconferences,https://app.ingo.me/q/6b1lb,https://images.ingo.me/LWMU5T515RSSEMBIDOFZI2121F52GIU1JRYDYLIGFEABEMWOZ5BFKIT3W32VD1B2.png,MEMBER_NETWORK
2020-03-24 13:21:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6648207199225069568,https://ift.tt/39g0REg,https://ift.tt/39g0REg,https://specials-images.forbesimg.com/imageserve/44381697/960x0.jpg?fit=scale,MEMBER_NETWORK
2020-03-24 13:21:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6648207199225069568,https://ift.tt/39g0REg,https://ift.tt/39g0REg,"",MEMBER_NETWORK
2020-03-20 23:45:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6646914464295763969,"","","",MEMBER_NETWORK
2020-03-19 14:30:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6646412559731740672,https://lnkd.in/eC6CDJD,"","",MEMBER_NETWORK
2020-02-29 20:35:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6639618990316539905,Arina Anapolskaya B-Platform #bplatform #nasdaq #cointiger #nativecoin,"","",MEMBER_NETWORK
2020-02-08 19:56:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6631998925903585280,https://lnkd.in/eTPwjJY,"","",MEMBER_NETWORK
2020-01-14 17:15:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6622898714015002624,So proud for our team!,"","",MEMBER_NETWORK
2020-01-14 00:22:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6622643803767529472,"We are proud to announce our partnership with NativeCoin and CoinTiger exchange.""
"" #partnership #announce #nativecoin #cointiger #bplatform","","",MEMBER_NETWORK
2019-12-18 00:20:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6612858930722852864,"","","",MEMBER_NETWORK
2019-11-14 20:36:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6600843800967553024,IMTC World 2019. Day 2. Welcome to our booth!  #imtc2019 #fintech #financialinclusion #umbanked #emergingmarkets,"","",MEMBER_NETWORK
2019-11-07 20:37:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6598307345942536192,"","","",MEMBER_NETWORK
2019-10-22 19:06:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6592486213121298432,"","","",MEMBER_NETWORK
2019-09-19 20:58:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6580555486393880577,"","","",MEMBER_NETWORK
2019-05-01 18:25:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6529420282506080256,"","","",MEMBER_NETWORK
2019-03-30 00:27:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6517552618628272128,"","","",MEMBER_NETWORK
2019-03-29 23:27:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6517537531377049601,"","","",MEMBER_NETWORK
2019-02-09 17:20:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6500050626154676224,"Our PayStation in Atlanta, GA. #tabconf #256h #artcrypto","","",MEMBER_NETWORK
2018-09-19 18:59:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6448254151133589504,"","","",MEMBER_NETWORK
2018-07-27 00:10:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6428401013534846976,"","","",MEMBER_NETWORK
2018-04-12 20:12:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6390290350006689792,"Excited - New Venture! Â Follow US!""
""Â #CryptoATM #whitelabel #selfservicekiosk #technology #development #cryptocurrency #crypto #bitcoin #bitcoinnews #bitcoinprice #swarm #bees #finance #blockchain #investment #ico #decentralized #binance #tron #trx #neo #ethereum #roi #kucoin #exchange #bitcoincashÂ Â #ripple #capital #profit #value #trading #wallstreet #cryptocurrency #cryptolife #cryptocurrencynewsÂ  #cryptonews #cryptotrading #cryptolife Â #cryptonewsÂ ","","",MEMBER_NETWORK
2018-04-03 23:39:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6387080953923203072,"","","",MEMBER_NETWORK
2018-01-18 14:37:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6359765601157738496,"We're so excited to see our kiosks in many places over Caribbean and LATAM regions! Our mutual project with Digicel is up and running! ""
""Thank you DIGICEL and our team - Great Job!""
""#digicelkiosk #bplatform #newregionattracted","","",MEMBER_NETWORK
2017-03-10 01:39:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6245779859562463232,I will be there.,"","",MEMBER_NETWORK
2016-12-17 14:43:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6215898976214884352,"","","",MEMBER_NETWORK
2016-10-04 13:18:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6189060958552416256,"","","",MEMBER_NETWORK
2016-09-29 19:06:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6187336569049935873,New regulation for NY fin companies,"","",MEMBER_NETWORK
2016-09-02 23:54:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6177624615200841728,"","","",MEMBER_NETWORK
2016-07-15 22:28:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6159845861573611521,"","","",MEMBER_NETWORK
2016-06-12 03:35:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6147601860644655104,"","","",MEMBER_NETWORK
2016-05-11 22:32:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6136291620070445056,"","","",MEMBER_NETWORK
2016-03-30 03:49:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6120788763460325376,"",http://www.capacitymedia.com/Article/3541052/Digicel-boosts-pan-Caribbean-network-with-Tres-deal.html,"",MEMBER_NETWORK
2016-02-05 00:01:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6101162505390870528,62 billion market,"","",MEMBER_NETWORK
2016-01-26 02:46:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6097580162973523968,"","","",MEMBER_NETWORK
2012-08-24 14:41:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A1285800667,"",http://corp.cnews.ru/line/2012/08/24/bantek_br_zapustila_prilozhenie_dlya_popolneniya_scheta_lyubogo_mobilnogo_operatora_500569,"",MEMBER_NETWORK
